Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
232,,Kannur,"Thavakkara, Kannur - Kerala PCB",66.00
233,,Kochi,"Vyttila, Kochi - Kerala PCB",Insufficient data available in last 24 hours.
234,,Kollam,"Polayathode, Kollam - Kerala PCB",76.00
235,,Kozhikode,"Palayam, Kozhikode - Kerala PCB",Insufficient data available in last 24 hours.
236,,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",66.00
237,,,"Plammoodu, Thiruvananthapuram - Kerala PCB",87.00
238,,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",73.00
239,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",112.00
240,,,"Paryavaran Parisar, Bhopal - MPPCB",120.00
241,,,"T T Nagar, Bhopal - MPPCB",118.00
242,,Damoh,"Shrivastav Colony, Damoh - MPPCB",129.00
243,,Dewas,"Bhopal Chauraha, Dewas - MPPCB",198.00
244,,Gwalior,"City Center, Gwalior - MPPCB",109.00
245,,,"Deen Dayal Nagar, Gwalior - MPPCB",216.00
246,,,"Maharaj Bada, Gwalior - MPPCB",166.00
247,,,"Phool Bagh, Gwalior - Mondelez Ind. Food",Insufficient data available in last 24 hours.
248,,Indore,"Airport Area, Indore - IMC",185.00
249,,,"Chhoti Gwaltoli, Indore - MPPCB",191.00
250,,,"Maguda Nagar, Indore - IMC",126.00
251,,,"Regional Park, Indore - IMC",123.00
252,,,"Residency Area, Indore - IMC",131.00
253,,,"Vijay Nagar Scheme-78, Indore - Glenmark",Insufficient data available in last 24 hours.
254,,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",47.00
255,,,"Gupteshwar, Jabalpur - JMC",127.00
256,,,"Marhatal, Jabalpur - MPPCB",140.00
257,,,"Suhagi, Jabalpur - JMC",71.00
258,,Katni,"Gole Bazar, Katni - MPPCB",137.00
259,,Maihar,"Sahilara, Maihar - KJS Cements",Insufficient data available in last 24 hours.
260,,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",314.00
261,,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",167.00
